feature,importance
account_age_days,0.36456871055965373
num_transactions_24h,0.29411206375146526
online_transaction,0.2483845115539839
transaction_hour,0.22697278152974082
recurring_transaction,0.1649141225404006
international_transaction,0.10497319901677903
customer_age,0.10381749722203926
transaction_amount,0.08265003029559517
pin_used,0.08176891660666603
credit_limit,0.08125079360659207
customer_tenure_months,0.07257592842275777
address_verification_match,0.06945996099772184
max_transaction_amount_30days,0.06617795738487402
num_transactions_7days,0.06373720494949948
previous_fraud_incidents,0.06315259799171294
velocity_score,0.06230595236546369
high_risk_country,0.057303208867730736
transaction_type_code,0.05504348027944383
available_credit_ratio,0.050630868648042275
merchant_category_code,0.05044904999441048
merchant_reputation_score,0.04999562189042092
distance_from_home_km,0.048939174235938306
distance_from_last_transaction_km,0.047198793871000386
card_present,0.04678699849953825
avg_transaction_amount_30days,0.04263188793797906
cvv_match,0.04023617142575455
transaction_day_of_week,0.03962450648583731
time_since_last_transaction_min,0.03483640080225856
chip_transaction,0.02960275543581321
customer_gender,0.001335238441471099
